start_kod,start_miasto,stop_kod,stop_miasto,miejsce,nr,mpal,km,stref,staw,waga_br,waga_przel,kwota,kosztow,konto
600,RADOM          ,83026,ROSENHEIM       KRONES AG WERK ROS, ,616254010181395,"0,2",0,ZN3,0,75,515,"43,15",205,42111
600,RADOM          ,46483,WESEL           BYK-CHEMIE GMBH SV, ,616254010181777,"0,1",0,ZN3,0,5,126,"23,52",205,42111
600,RADOM          ,03202,VILNIUS         FOTUM UAB         , ,616154010393540,"2,5",0,ZN3,0,450,1080,"87,80",205,42111
600,RADOM          ,8909,ZWILLIKON       RK WAAGEN         , ,616254010181901,"1,0",0,ZN3,0,140,694,"58,17",205,42111
600,RADOM          ,8770,INGELMUNSTER    HAARDEN DE VOS BV , ,616254010181911,"1,2",0,ZN3,0,470,1072,"87,21",205,42111
600,RADOM          ,82106,BRATISLAVA      LIBRA,SPOL. S R. O  ,616254010181921,"1,0",0,ZN3,0,80,476,"36,38",205,42111
600,Radom          ,1172,SOFIA           ALFA B LTD        , ,616254010182004,"1,0",0,ZN3,0,230,2707,"135,88",205,42111
600,RADOM          ,91589,AURACH          ENGELHARD ANHAENGE, ,616254010182130,"0,5",0,ZN3,0,76,76,"18,63",205,42111
680,WIERZBICA      ,29525,UELZEN          NORDZUCKER AG     , ,616254010182142,"1,0",0,ZN3,0,245,445,"36,38",205,42111
620,Radom           LEROY MERLIN,68,RA, ,616622015466033,"2,2",0,ZN3,0,64,518,"43,44",205,42120
600,RADOM          ,15354,GLYKA NERA      LINK LAB,LTD.       ,616254010182531,"2,2",0,ZN3,0,256,1275,"95,13",205,42111
600,RADOM          ,86400,SAINT-SAVIOL    SAO CEREALES - STO, ,616254010182674,"2,0",0,ZN3,0,50,230,"27,38",205,42111
600,RADOM          ,1000,SOFIA           INDUSTRIAL STIL LT, ,616404010139793,"1,0",0,ZN3,0,275,460,"36,38",205,42111
620,Radom           LEROY MERLIN,68,RA, ,616622015437264,"2,2",0,ZN3,0,147,518,"43,44",205,42120
600,RADOM          ,8651,BALATONSZABADI  REVANSTEX,KFT.      ,616254010180729,"1,0",0,ZN3,0,96,3093,"143,20",205,42111
600,RADOM          ,1148,BUDAPEST        DOMOTORS,KFT.       ,616254010180817,"1,0",0,ZN3,0,98,2337,"135,88",205,42111
600,RADOM          ,94107,Klaipeda        SAUGU LT UAB      , ,616154010391298,"1,0",0,ZN3,0,125,7419,"193,75",205,42111
600,RADOM          ,1225,SOFIA           SAFETY WORK LTD   , ,616254010181085,"1,0",0,ZN3,0,225,8035,"193,75",205,42111
612,RADOM          ,53231,GARLIAVA        HOREKOS SERVISAS  , ,616154010392234,"1,3",0,ZN3,0,240,504,"42,23",205,42111
600,RADOM          ,13156,BERLIN          TAMS ARBEITSBEDARF, ,616254010181646,"1,0",0,ZN3,0,156,8208,"193,75",205,42111
600,RADOM          ,4000,CENTRAL DISTRICTKLISAROV TRADE LTD, ,616254010181745,"0,4",0,ZN3,0,58,3777,"172,25",205,42111
600,RADOM          ,1241,KAMNIK          GUMIKS DOO        , ,616254010181860,"2,0",0,ZN3,0,582,2376,"135,88",205,42111
600,RADOM          ,1015,RIGA            UNIMARS BALTIC SUP, ,616254010182006,"3,0",0,ZN3,0,474,3513,"162,67",205,42111
610,RADOM          ,85101,BRATISLAVA      FALCON TECHLINES S, ,616054011117014,"0,5",0,ZN3,0,52,52,"14,75",205,42111
600,RADOM          ,1148,BUDAPEST        DOMOTORS,KFT.       ,616254010182257,"1,0",0,ZN3,0,68,2914,"135,88",205,42111
600,RADOM          ,08001,PRESOV          BRAKON            , ,616254010182382,"2,0",0,ZN3,0,453,3916,"172,25",205,42111
604,RADOM          ,065,OBI RADOM GRZE, ,616544010594970,"1,0",0,ZN3,0,67,230,"27,38",205,42120
600,RADOM          ,1153,BUDAPESZT       RONIX             , ,616254010182517,"1,0",0,ZN3,0,330,2246,"135,88",205,42111
