,A,reg_number,date,values,mpal,stops
2928,"Razem 16,1 0 4920 / 6684 3 512,88 PLN",TK6608V,11-07-24,"['16,1', '0', '4920', '/', '6684', '3', '512,88', 'PLN']","16,1",3
2954,"Razem 16,2 0 4921 / 6739 16 900,81 PLN",TK6608V,11-07-24,"['16,2', '0', '4921', '/', '6739', '16', '900,81', 'PLN']","16,2",16
2970,"Razem 15,3 0 6324 / 6564 3 651,95 PLN",TK6608V,12-07-24,"['15,3', '0', '6324', '/', '6564', '3', '651,95', 'PLN']","15,3",3
3013,"Razem 16,1 0 5737 / 7442 16 1.009,17 PLN",TK6608V,12-07-24,"['16,1', '0', '5737', '/', '7442', '16', '1.009,17', 'PLN']","16,1",16
3036,"Razem 17,2 0 4660 / 6997 5 739,02 PLN",TK6608V,15-07-24,"['17,2', '0', '4660', '/', '6997', '5', '739,02', 'PLN']","17,2",5
3060,"Razem 15,2 0 2599 / 4725 12 700,31 PLN",TK6608V,15-07-24,"['15,2', '0', '2599', '/', '4725', '12', '700,31', 'PLN']","15,2",12
3080,"Razem 16,0 0 7045 / 7772 6 878,77 PLN",TK6608V,16-07-24,"['16,0', '0', '7045', '/', '7772', '6', '878,77', 'PLN']","16,0",6
3101,"Razem 17,1 0 5557 / 6068 12 847,06 PLN",TK6608V,16-07-24,"['17,1', '0', '5557', '/', '6068', '12', '847,06', 'PLN']","17,1",12
3139,"Razem 16,9 0 6425 / 6425 2 483,79 PLN",TK6608V,17-07-24,"['16,9', '0', '6425', '/', '6425', '2', '483,79', 'PLN']","16,9",2
3163,"Razem 16,4 0 4371 / 5490 14 834,00 PLN",TK6608V,17-07-24,"['16,4', '0', '4371', '/', '5490', '14', '834,00', 'PLN']","16,4",14
3180,"Razem 16,6 0 6175 / 6746 5 734,94 PLN",TK6608V,18-07-24,"['16,6', '0', '6175', '/', '6746', '5', '734,94', 'PLN']","16,6",5
3236,"Razem 19,0 0 6208 / 7020 12 816,83 PLN",TK6608V,18-07-24,"['19,0', '0', '6208', '/', '7020', '12', '816,83', 'PLN']","19,0",12
3254,"Razem 16,3 0 8080 / 8701 5 724,73 PLN",TK6608V,19-07-24,"['16,3', '0', '8080', '/', '8701', '5', '724,73', 'PLN']","16,3",5
3295,"Razem 15,4 0 4153 / 5760 13 809,76 PLN",TK6608V,19-07-24,"['15,4', '0', '4153', '/', '5760', '13', '809,76', 'PLN']","15,4",13
3316,"Razem 16,0 0 7642 / 7914 4 647,21 PLN",TK6608V,22-07-24,"['16,0', '0', '7642', '/', '7914', '4', '647,21', 'PLN']","16,0",4
3367,"Razem 16,5 0 7618 / 8846 12 1.036,39 PLN",TK6608V,22-07-24,"['16,5', '0', '7618', '/', '8846', '12', '1.036,39', 'PLN']","16,5",12
3384,"Razem 15,5 0 8079 / 8079 2 524,08 PLN",TK6608V,23-07-24,"['15,5', '0', '8079', '/', '8079', '2', '524,08', 'PLN']","15,5",2
3406,"Razem 16,0 0 3835 / 4878 11 682,09 PLN",TK6608V,23-07-24,"['16,0', '0', '3835', '/', '4878', '11', '682,09', 'PLN']","16,0",11
3430,"Razem 14,9 0 6555 / 6762 4 553,39 PLN",TK6608V,24-07-24,"['14,9', '0', '6555', '/', '6762', '4', '553,39', 'PLN']","14,9",4
3455,"Razem 17,0 0 5727 / 6643 14 929,57 PLN",TK6608V,24-07-24,"['17,0', '0', '5727', '/', '6643', '14', '929,57', 'PLN']","17,0",14
3471,"Razem 15,8 0 5380 / 6155 3 611,42 PLN",TK6608V,25-07-24,"['15,8', '0', '5380', '/', '6155', '3', '611,42', 'PLN']","15,8",3
3510,"Razem 15,1 0 7215 / 7565 11 1.020,25 PLN",TK6608V,25-07-24,"['15,1', '0', '7215', '/', '7565', '11', '1.020,25', 'PLN']","15,1",11
3531,"Razem 16,7 0 7023 / 7419 2 476,21 PLN",TK6608V,26-07-24,"['16,7', '0', '7023', '/', '7419', '2', '476,21', 'PLN']","16,7",2
3565,"Razem 16,8 0 4199 / 5694 17 930,09 PLN",TK6608V,26-07-24,"['16,8', '0', '4199', '/', '5694', '17', '930,09', 'PLN']","16,8",17
3616,"Razem 17,8 0 6744 / 7919 4 773,68 PLN",TK6608V,29-07-24,"['17,8', '0', '6744', '/', '7919', '4', '773,68', 'PLN']","17,8",4
3649,"Razem 18,1 0 5911 / 7753 14 1.016,27 PLN",TK6608V,29-07-24,"['18,1', '0', '5911', '/', '7753', '14', '1.016,27', 'PLN']","18,1",14
3698,"Razem 18,7 0 6756 / 7916 4 687,73 PLN",TK6608V,30-07-24,"['18,7', '0', '6756', '/', '7916', '4', '687,73', 'PLN']","18,7",4
3728,"Razem 17,6 0 7445 / 8470 13 1.077,39 PLN",TK6608V,30-07-24,"['17,6', '0', '7445', '/', '8470', '13', '1.077,39', 'PLN']","17,6",13
3780,"Razem 16,3 0 6851 / 7770 3 555,94 PLN",TK6608V,31-07-24,"['16,3', '0', '6851', '/', '7770', '3', '555,94', 'PLN']","16,3",3
3804,"Razem 17,6 0 5556 / 6903 14 937,92 PLN",TK6608V,31-07-24,"['17,6', '0', '5556', '/', '6903', '14', '937,92', 'PLN']","17,6",14
3831,"Razem 16,5 0 4180 / 6898 5 555,69 PLN",TK718EE,01-07-24,"['16,5', '0', '4180', '/', '6898', '5', '555,69', 'PLN']","16,5",5
3854,"Razem 17,7 0 5996 / 0 14 846,29 PLN",TK718EE,01-07-24,"['17,7', '0', '5996', '/', '0', '14', '846,29', 'PLN']","17,7",14
3870,"Razem 17,2 0 4401 / 6083 11 704,14 PLN",TK718EE,02-07-24,"['17,2', '0', '4401', '/', '6083', '11', '704,14', 'PLN']","17,2",11
3905,"Razem 18,2 0 3890 / 5310 4 505,14 PLN",TK718EE,02-07-24,"['18,2', '0', '3890', '/', '5310', '4', '505,14', 'PLN']","18,2",4
3926,"Razem 16,2 0 7377 / 7419 5 615,55 PLN",TK718EE,03-07-24,"['16,2', '0', '7377', '/', '7419', '5', '615,55', 'PLN']","16,2",5
3937,"Razem 21,0 0 9170 / 10787 13 1.021,91 PLN",TK718EE,03-07-24,"['21,0', '0', '9170', '/', '10787', '13', '1.021,91', 'PLN']","21,0",13
3977,"Razem 16,1 0 8100 / 8406 5 667,03 PLN",TK718EE,04-07-24,"['16,1', '0', '8100', '/', '8406', '5', '667,03', 'PLN']","16,1",5
3999,"Razem 18,3 0 5189 / 7233 12 795,22 PLN",TK718EE,04-07-24,"['18,3', '0', '5189', '/', '7233', '12', '795,22', 'PLN']","18,3",12
4026,"Razem 17,6 0 3510 / 5113 14 727,63 PLN",TK718EE,05-07-24,"['17,6', '0', '3510', '/', '5113', '14', '727,63', 'PLN']","17,6",14
4048,"Razem 18,0 0 11295 / 11433 3 422,50 PLN",TK718EE,05-07-24,"['18,0', '0', '11295', '/', '11433', '3', '422,50', 'PLN']","18,0",3
4064,"Razem 16,4 0 6880 / 6940 6 635,99 PLN",TK718EE,08-07-24,"['16,4', '0', '6880', '/', '6940', '6', '635,99', 'PLN']","16,4",6
4113,"Razem 18,4 0 6115 / 7777 15 880,66 PLN",TK718EE,08-07-24,"['18,4', '0', '6115', '/', '7777', '15', '880,66', 'PLN']","18,4",15
4126,"Razem 16,0 0 7950 / 7950 3 488,33 PLN",TK718EE,09-07-24,"['16,0', '0', '7950', '/', '7950', '3', '488,33', 'PLN']","16,0",3
4136,"Razem 15,8 0 5062 / 5601 11 704,28 PLN",TK718EE,09-07-24,"['15,8', '0', '5062', '/', '5601', '11', '704,28', 'PLN']","15,8",11
4198,"Razem 13,5 0 7072 / 7072 2 414,79 PLN",TK718EE,10-07-24,"['13,5', '0', '7072', '/', '7072', '2', '414,79', 'PLN']","13,5",2
4217,"Razem 17,0 0 7047 / 8236 15 1.028,94 PLN",TK718EE,10-07-24,"['17,0', '0', '7047', '/', '8236', '15', '1.028,94', 'PLN']","17,0",15
4254,"Razem 10,0 0 6600 / 6674 5 575,56 PLN",TK718EE,11-07-24,"['10,0', '0', '6600', '/', '6674', '5', '575,56', 'PLN']","10,0",5
