,A,reg_number,date,values,mpal,stops
7300,"Razem 24,0 0 8281 / 9075 12 749,24 PLN",WWL6856U,15-12-23,"['24,0', '0', '8281', '/', '9075', '12', '749,24', 'PLN']","24,0",12
7324,"Razem 20,1 0 7653 / 8874 6 561,07 PLN",WWL6856U,18-12-23,"['20,1', '0', '7653', '/', '8874', '6', '561,07', 'PLN']","20,1",6
7336,"Razem 26,1 0 9754 / 11895 14 947,25 PLN",WWL6856U,18-12-23,"['26,1', '0', '9754', '/', '11895', '14', '947,25', 'PLN']","26,1",14
7386,"Razem 26,0 0 10240 / 11556 2 370,72 PLN",WWL6856U,19-12-23,"['26,0', '0', '10240', '/', '11556', '2', '370,72', 'PLN']","26,0",2
7403,"Razem 26,7 0 14044 / 14959 11 1.074,47 PLN",WWL6856U,19-12-23,"['26,7', '0', '14044', '/', '14959', '11', '1.074,47', 'PLN']","26,7",11
7448,"Razem 20,5 0 8247 / 9173 4 526,19 PLN",WWL6856U,20-12-23,"['20,5', '0', '8247', '/', '9173', '4', '526,19', 'PLN']","20,5",4
7470,"Razem 24,9 0 7553 / 11894 9 856,35 PLN",WWL6856U,20-12-23,"['24,9', '0', '7553', '/', '11894', '9', '856,35', 'PLN']","24,9",9
7492,"Razem 24,7 0 10209 / 10802 4 567,61 PLN",WWL6856U,21-12-23,"['24,7', '0', '10209', '/', '10802', '4', '567,61', 'PLN']","24,7",4
7516,"Razem 25,8 0 11001 / 14616 11 1.006,58 PLN",WWL6856U,21-12-23,"['25,8', '0', '11001', '/', '14616', '11', '1.006,58', 'PLN']","25,8",11
7530,"Razem 19,0 0 12700 / 12700 2 332,21 PLN",WWL6856U,22-12-23,"['19,0', '0', '12700', '/', '12700', '2', '332,21', 'PLN']","19,0",2
7540,"Razem 19,1 0 8192 / 10335 10 763,20 PLN",WWL6856U,22-12-23,"['19,1', '0', '8192', '/', '10335', '10', '763,20', 'PLN']","19,1",10
7691,"Razem 25,0 0 8666 / 12269 3 605,18 PLN",WWL6856U,27-12-23,"['25,0', '0', '8666', '/', '12269', '3', '605,18', 'PLN']","25,0",3
7737,"Razem 21,5 0 12393 / 12458 6 744,79 PLN",WWL6856U,27-12-23,"['21,5', '0', '12393', '/', '12458', '6', '744,79', 'PLN']","21,5",6
7781,"Razem 22,5 0 8135 / 9108 5 441,86 PLN",WWL6856U,28-12-23,"['22,5', '0', '8135', '/', '9108', '5', '441,86', 'PLN']","22,5",5
7804,"Razem 20,5 0 12712 / 12994 6 555,48 PLN",WWL6856U,28-12-23,"['20,5', '0', '12712', '/', '12994', '6', '555,48', 'PLN']","20,5",6
8467,"Razem 14,5 0 6074 / 8337 3 536,63 PLN",WWL8513U,01-12-23,"['14,5', '0', '6074', '/', '8337', '3', '536,63', 'PLN']","14,5",3
8490,"Razem 15,9 0 7345 / 7940 12 657,69 PLN",WWL8513U,01-12-23,"['15,9', '0', '7345', '/', '7940', '12', '657,69', 'PLN']","15,9",12
8502,"Razem 12,0 0 7650 / 7650 1 322,92 PLN",WWL8513U,04-12-23,"['12,0', '0', '7650', '/', '7650', '1', '322,92', 'PLN']","12,0",1
8519,"Razem 16,0 0 6846 / 8209 12 919,47 PLN",WWL8513U,04-12-23,"['16,0', '0', '6846', '/', '8209', '12', '919,47', 'PLN']","16,0",12
8566,"Razem 16,0 0 7850 / 8846 3 498,38 PLN",WWL8513U,05-12-23,"['16,0', '0', '7850', '/', '8846', '3', '498,38', 'PLN']","16,0",3
8589,"Razem 16,4 0 3810 / 8564 11 911,43 PLN",WWL8513U,05-12-23,"['16,4', '0', '3810', '/', '8564', '11', '911,43', 'PLN']","16,4",11
8610,"Razem 17,1 0 6600 / 6600 2 408,94 PLN",WWL8513U,06-12-23,"['17,1', '0', '6600', '/', '6600', '2', '408,94', 'PLN']","17,1",2
8635,"Razem 17,2 0 5221 / 7310 11 798,91 PLN",WWL8513U,06-12-23,"['17,2', '0', '5221', '/', '7310', '11', '798,91', 'PLN']","17,2",11
8652,"Razem 18,0 0 7860 / 8675 2 498,21 PLN",WWL8513U,07-12-23,"['18,0', '0', '7860', '/', '8675', '2', '498,21', 'PLN']","18,0",2
8678,"Razem 14,1 0 3509 / 4738 13 667,70 PLN",WWL8513U,07-12-23,"['14,1', '0', '3509', '/', '4738', '13', '667,70', 'PLN']","14,1",13
8696,"Razem 13,7 0 5547 / 5897 4 372,71 PLN",WWL8513U,08-12-23,"['13,7', '0', '5547', '/', '5897', '4', '372,71', 'PLN']","13,7",4
8713,"Razem 16,5 0 5669 / 6152 8 600,41 PLN",WWL8513U,08-12-23,"['16,5', '0', '5669', '/', '6152', '8', '600,41', 'PLN']","16,5",8
8737,"Razem 8,5 0 2220 / 2356 3 211,03 PLN",WWL8513U,11-12-23,"['8,5', '0', '2220', '/', '2356', '3', '211,03', 'PLN']","8,5",3
